tds,turbidity,pH,mq4,temperature,humidity,rain,oxygen_level
205.97,19.3,5.78,46.66,37.43,35.86,36.93,Low
158.12,5.61,5.72,46.02,17.33,84.25,82.7,Low
236.4,6.83,6.03,86.96,29.98,35.02,81.09,Low
183.68,9.9,8.21,73.31,33.96,43.67,44.88,Low
380.28,16.64,7.32,59.98,29.25,76.34,36.18,Low
50.86,4.68,6.71,16.41,12.47,62.99,76.35,High
446.96,10.52,6.74,67.64,11.74,69.64,22.39,Low
151.21,10.21,6.68,10.06,14.47,89.82,18.98,Low
354.91,18.15,8.27,56.36,36.59,63.57,40.2,Low
299.65,8.25,6.7,52.97,38.21,36.34,53.64,Low
749.2,6.99,5.49,32.35,13.52,73.36,13.21,Low
657.76,11.02,7.19,26.52,32.95,56.33,47.49,Low
161.72,6.69,8.51,51.34,27.59,31.48,12.24,Low
85.15,11.47,7.31,57.85,38.28,45.11,49.53,Low
167.2,15.22,8.11,29.48,26.2,82.68,24.96,Low
497.11,3.17,5.72,10.66,10.46,78.79,33.57,Low
337.32,7.22,6.11,57.4,35.99,83.8,55.23,Low
494.1,17.99,6.93,64.15,28.53,86.16,5.39,Low
472.29,14.25,8.41,39.95,28.39,81.85,20.21,Low
643.84,6.71,7.84,73.75,35.04,36.53,82.12,Low
218.39,0.61,7.06,22.99,14.19,83.7,16.12,High
606.92,10.12,5.41,70.8,24.92,57.4,83.09,Low
250.55,4.55,5.23,36.72,36.38,58.03,68.29,Low
182.43,18.1,5.34,76.39,31.04,60.43,98.49,Low
318.7,9.75,5.67,30.43,28.16,46.76,95.13,Low
374.88,12.09,5.99,65.9,35.48,60.87,96.74,Low
77.66,11.21,7.83,38.39,28.01,68.5,69.13,Low
628.54,19.81,7.62,50.55,21.84,33.98,34.23,Low
756.03,16.49,8.04,34.86,11.49,77.44,38.99,Low
742.03,15.86,7.95,15.05,22.44,78.78,66.51,Low
191.93,9.83,7.96,56.69,30.69,55.07,71.74,Low
402.35,10.8,6.94,14.93,18.35,63.01,21.99,Low
442.85,11.98,7.73,3.74,30.32,39.32,83.52,Low
293.33,16.43,8.46,54.22,28.89,58.44,13.77,Low
590.54,18.4,8.85,35.6,10.81,68.78,69.83,Low
245.36,7.96,7.85,93.35,21.69,88.21,99.31,Low
140.51,14.8,5.25,29.29,34.78,74.45,60.64,Low
422.21,10.72,7.36,54.03,24.92,49.44,38.59,Low
430.47,16.14,7.9,25.3,36.81,34.11,84.5,Low
136.51,10.53,7.3,17.46,17.32,50.15,55.05,Low
748.75,4.34,6.61,1.98,18.57,54.48,64.64,Low
83.43,1.11,8.12,2.27,18.95,75.64,73.73,High
665.91,9.71,5.56,19.37,39.76,84.25,86.03,Low
295.34,1.0,8.12,36.56,17.77,51.47,45.08,High
448.14,5.99,8.53,60.05,21.03,84.97,20.65,Low
307.98,6.12,6.96,13.58,33.84,61.36,22.17,High
262.87,8.61,7.65,59.32,18.6,47.85,96.65,Low
234.54,3.93,8.27,79.99,19.74,45.32,93.46,Low
197.94,13.15,8.23,48.92,23.82,52.77,18.33,Low
585.57,10.96,6.85,76.82,22.59,70.09,48.46,Low
97.46,19.35,5.98,44.91,22.84,80.47,16.51,Low
226.04,0.7,7.22,40.58,12.62,72.66,3.24,High
475.71,0.71,8.41,63.69,14.43,61.96,95.52,Low
296.36,0.54,7.61,82.77,33.79,66.2,7.47,Low
70.1,6.14,8.98,6.42,10.25,75.55,54.39,Low
613.67,14.18,6.49,3.46,11.42,35.83,71.62,Low
134.33,6.62,6.95,28.56,15.86,68.47,54.47,High
163.22,14.94,7.82,42.91,10.83,68.84,50.36,Low
